Title,PID,file,First-broadcast,Presenter,Production,Producer,Description,Archive-details
We're Not out of the Woods,b08cqq71,TRUE,5/2/2017,Michael Symmons Roberts,TBI,Michael Wakelin,"Michael Symmons Roberts goes into the depths of the forest to find out the meaning of the cliché ""we're not out of the woods yet"". From the time we are children, woods and forests are portrayed as places of menace and foreboding, where dangerous creatures like wolves and gruffalos lurk, intent on causing us harm. Normally they are places we want to escape from, but not everyone is so keen to get out.<br/><br/>For authors, poets and composers, the woods can be places of creativity, testing and transformation and a symbol not only of fertility - as it is for DH Lawrence - but also for the very health of a nation, as W.H Auden so powerfully expresses: ""This great society is going to smash; They cannot fool us with how fast they go, How much they cost each other and the gods. A culture is no better than its woods.""<br/><br/>Modern poetry and music also engage with the symbolism of the woods. We hear from Emily Berry and her beautiful poem Canopy, as well as Alice Oswald's Wood Not Yet Out and - perhaps surprisingly - from rock star Prince, whose song The Cross powerfully captures the emotion of the crucifixion. Roberts revisits the notion that, in literature, it is hard to escape the link between wood and the cross of Christ. He quotes the great Anglo Saxon poem The Dream of the Rood, where the cross itself is the narrator.<br/><br/>Roberts concludes that maybe being in the woods is not all bad. ""Like all the richest metaphors...there's something so deep rooted about the woods, the forest, trees as symbols and metaphors that we can't leave them alone... We're not out of the woods yet, but perhaps we don't want to be.""",
Wealth and poverty,,,18/2/1996,Mark Tully,Unique,,Mark Tully explores the relative values of wealth and poverty.,
Weaving,b00k2q82,TRUE,3/5/2009,Mark Tully,,,"Mark Tully explores weaving as a metaphor for how we should live our life, beginning in Gandhi's house. He believed that weaving was a necessary spiritual discipline and, perhaps surprisingly, many western poets and musicians echo this view. With poetry by William Blake, Henry Vaughan, Walt Whitman and DH Lawrence and music by saxophonist Jan Garbarek.",
Weltschmerz,b04v2lts,TRUE,14/12/2014,Mark Tully,Unique,Frank Stirling,"Is there too much bad news? As a journalist, Mark Tully worries that his profession sometimes exacerbates a growing sense of world weariness.<br/><br/>At times, the sheer volume of awful stories in the news can be utterly overwhelming - that there's a temptation to despair completely, is hardly surprising. How should we overcome world weariness, improve our lot and maintain a zest for life?<br/><br/>In many faiths despair is a sin, and it is commonly seen as a social ill. Yet in the nineteenth century, the Romantic movement coined the word 'Weltschmerz', which was seen as a spur to achievement and the natural ally of idealism. So is weariness with the world something we can harness and use to improve life?<br/><br/>Mark talks to the journalist and writer on ethics and international development, Paul Vallely, and presents readings by the poet Paul Birtill and the Vietnamese Buddhist teacher Thich Nhat Hanh.<br/><br/>There is music from Mahalia Jackson, Tracy Chapman and John Corigliano.<br/><br/>The readers are David Holt and Francis Cadder",
Westminster Abbey,b00s54cp,TRUE,2/5/2010,Mark Tully,Loftus,Elizabeth Burke,"Mark Tully presents a special edition of Something Understood from Westminster Abbey, which this month celebrates the 450th anniversary of its establishment as a collegiate church by Elizabeth I.<br/><br/>The Dean of Westminster, The Very Reverend Dr John Hall, guides us through some of the Abbey's most sacred spaces, and talks about the inspiration he finds in the 'prayer-soaked walls'. Prayer is the main theme of the programme, and The Dean talks personally about how and why he prays, including an admission that before any great State Service involving the Queen, he sends up a quick 'stiffening' arrow of prayer.<br/><br/>The programme includes prayers by some of those who are buried in the Abbey, like Charles Dickens, Gerard Manley Hopkins and Sir Isaac Newton. The music too is by the great musicians commemorated there: Handel, Purcell, Stanford, and Noel Coward, whose moving wartime song 'London Pride' celebrates the spirit of the Blitz. Other readings include an account of Charles II's coronation in the Abbey by Samuel Pepys - as always just as interested in the fine ladies as the spectacle going on round him; and a sharp satire on prayer by John Betjeman.<br/><br/>A programme which evokes the awe of a very beautiful sacred space - but which is also witty, and lively, never too solemn.",
What a waste!,m001r7d3,TRUE,8/10/2006,Mark Tully,Unique,Eley McAinsh,Mark Tully considers how hope and transformation can come from loss and grief; how some people find ways to turn seeming waste into something more positive and fruitful.,
What Would Happen If?,b08wmjnw,TRUE,2/7/2017,Malcolm Doney,TBI,Jonathan O'Sullivan,"Writer and priest Malcolm Doney argues that imagination is central to almost every decision we make. For Malcolm, conscious, imaginative thinking is essentially the basis of what it means to be human.<br/><br/>Malcolm draws upon the story of Jesus who himself left no written manifesto. In his physical absence, Jesus' followers were left with the imaginative project of living lives modelled on his. They had to re-imagine a new life without him.<br/><br/>Malcolm explores the work of Nobel Prize winner Peter Medawar, historian Yuval Noah Harari, as well as poets John Koethe and Emily Dickinson. Using this diverse array of sources, Malcolm reveals that imagination is vital to the progress of science and lies at the beating heart of music. He concludes that ultimately, imagination is fundamental to empathy and at the core of that most life-giving command ""love thy neighbour as thyself"".",
What's in a Name?,b0b2gs7d,TRUE,13/5/2018,Shoshana Boyd Gelfand,TBI,Tom Glasser,"Rabbi Shoshana Boyd Gelfand explores the importance of names, drawing upon a wide range of sources, from God's bestowal of Adam's name in the book of Genesis to T S Elliot's poem about the ineffable naming of cats.<br/><br/>With the help of the Israeli poet Zelda, Shoshana finds that we are defined by more than just the name we use on a daily basis. Shoshana explains that each of her names ""reflects an essential part of my identity, although none of them capture the entirety of my true self.""<br/><br/>With readings from Shakespeare's Romeo and Juliet, along with Leonard Bernstein's adaptation in West Side Story, Shoshana hears how names also have the power to divide us.<br/><br/>The process of naming is inextricably linked to power. Those in charge can strip us of our names. Shoshana references the dehumanising effect of names becoming numbers during the Holocaust. Listening to Les Misérables, Shoshana hears how the prisoner Jean Valjean battles to retain his own name when a police inspector refers to him only as 24601.<br/><br/>For Shoshana, perhaps the most powerful aspect of names is when a name is gifted to another. Giving a name, as Shoshana argues, ""is part of the creative act itself... we express our deep connection to something larger than ourselves - perhaps even to the One who is beyond all names.""",
When an Angel Passes,b01pf6dd,,23/12/2012,Alan Hall,Falling Tree,Eleanor McDowall,"William Blake's childhood vision of a tree on Peckham Rye filled with angels, 'bright angelic wings bespangling every bough like stars', offers a starting point for Alan Hall's reflections on the angelic in the everyday.<br/><br/>He makes reference to a short story by Gabriel Garcia Marquez about a 'very old man with enormous wings', poems by Rainer Maria Rilke and John Agard, and an extract from the moving conclusion of James Agee's novel about the death of his father.<br/><br/>The programme also includes music by Sufjan Stevens, Gillian Welch and Johannes Brahms and a clip from the Powell and Pressburger film 'A Matter of Life and Death'.",
When Certainties Are Shaken,b01shst3,TRUE,19/5/2013,Samira Ahmed,Whistledown,Caroline Hughes,"When things we feel sure of are not actually as they seem, it can be unsettling. What do we do when new revelations throw past convictions into doubt? Samira Ahmed reflects on times when existing certainties in people and events are shaken; when trust is tested.<br/><br/>Is there anything we can be truly certain of in life? Our sense of self might alter with age and experience. The most solid relationship could change or end. Even our most heartfelt beliefs could falter. In the wider world, we might place trust in things communally as a society; things we feel we should be confident of, like financial institutions or the labels on our food. Even with a healthy dose of scepticism, do we need to invest a degree of certainty or trust, for society to work?<br/><br/>When something goes wrong - particularly in these uncertain times - do we feel that trust or faith has been shaken? History has many examples of existing certainties crumbling in the face of new revelations, especially from the world of science.<br/><br/>Perhaps absolute certainty about anything is rare. Maybe most things in life we might feel certain of - people, situations, ourselves - are prone to be shaken up from time to time. In the programme, we hear the Reverend Canon David Reindorp share his experience of depression; a period of great insecurity for him.<br/><br/>The programme includes readings from Angela Carter, Gerard Manley Hopkins and Walt Whitman with music by Etta James, Stephen Sondheim and Sir William Herschel.",
